tweet_id,author_id,inbound,created_at,in_response_to_tweet_id,in_response_to_tweet_text,text,response_tweet_id
160,ChipotleTweets,False,2017-10-31 22:06:55+00:00,161,"Tried, didn't work. How rude :/",My apologies for that. Just sent you a DM to help. -Becky,
162,ChipotleTweets,False,2017-10-31 19:51:00+00:00,163,can I dress up as myself and still qualify for a BOORITO?,Give it a try. -Tara,161
164,ChipotleTweets,False,2017-10-31 22:03:32+00:00,165,"Every year, my trick-or-treating routine is walking to Chipotle, spending 3 dollars and walking back home.","That's the best kind of trick-or-treating. All treats, my friend. -Becky",
166,ChipotleTweets,False,2017-10-31 22:02:25+00:00,167,this is nasty. A used napkin in someone's food https://t.co/EkWiD9vhnr,That's incredibly concerning. Please provide more details so we can investigate: https://t.co/Ax7W1Dx3Y9 -Becky,
168,ChipotleTweets,False,2017-10-31 22:01:39+00:00,169,$3 burritos and I’m nowhere near a  🤦🏾‍♂️,Bummer. I'm so sorry. How far away is the closest location? -Becky,
170,ChipotleTweets,False,2017-10-31 22:01:00+00:00,171,Also I got the onesie at target. So cozy,Noted 😊 -Becky,
174,ChipotleTweets,False,2017-10-31 21:56:06+00:00,175,Considering walking to  in my llama onesie alone happy Halloween 😭,"You won't be alone – we'll be there with you. Also, I want that llama onesie. -Becky",172
176,ChipotleTweets,False,2017-10-31 22:01:00+00:00,177,name a better halloween duo #speedwaybrick #UTtranscript https://t.co/5ShDRMlC1T,I love it! Thanks so much for stopping by. -Becky,
1327,ChipotleTweets,False,2017-10-31 22:28:34+00:00,1328,don’t forget to cop your $3  burrito today ✨ https://t.co/Yho0pkQhbI,True story! Thanks for stopping by – enjoy that burrito. -Becky,
1329,ChipotleTweets,False,2017-10-31 22:28:34+00:00,1330,Thanks  for the $3 burrito bowl! #halloweentreats https://t.co/wjIdjvNvti,You look WONDERful! Thanks for stopping by. -Becky,
1331,ChipotleTweets,False,2017-10-31 22:28:00+00:00,1333,I didn't know my boy ordered half a bowl... #WheresTheRice? https://t.co/Qmqiy3nYIg,That doesn't look right. Please tell us more: https://t.co/Ax7W1Dx3Y9 -Becky,1332
1334,ChipotleTweets,False,2017-10-31 22:27:37+00:00,1336,Getting that 3 buck burrito from  is becoming a tradition on Halloween #thebest,The absolute best. What are you going to order? -Becky,1335
1337,ChipotleTweets,False,2017-10-31 22:55:00+00:00,1335,"We got two burritos, chips and queso. 👍🏼",Delish! Well played. -Becky,
1338,ChipotleTweets,False,2017-10-31 22:27:29+00:00,1339,Shoutout to  for doing the $3 deal. 🙏🏼,Shout out to you for stopping by! -Becky,
1340,ChipotleTweets,False,2017-10-31 22:26:57+00:00,1341,nothing but the most respect for  and this $3 BOOrito,"Nothing but love for you, my friend. -Becky",
1342,ChipotleTweets,False,2017-10-31 22:26:57+00:00,1343,🎃Thanks  for my $3 burrito bowl 👻 tonight! https://t.co/gHVOXof7SG,Creeeeepy. Thanks for stopping by! -Becky,
1344,ChipotleTweets,False,2017-10-31 22:26:28+00:00,1345,"cant order online, says ""cannot connect to chipotle supercomputer."" on the app.","We've turned it off since it's our annual Boorito promo, but it'll be back on tomorrow. -Becky",
1353,ChipotleTweets,False,2017-10-31 22:26:27+00:00,1354,Going to  expecting a $3 boorito w/o wearing a costume is like going trick or treating w/o a costume &amp; expecting candy. #no,So true. -Becky,
1355,ChipotleTweets,False,2017-10-31 22:26:00+00:00,1356,Halloween isn’t complete unless you get your  bowl with guacamole for $3 for wearing a costume! #buzzlightyear #halloween,So true! -Becky,
1357,ChipotleTweets,False,2017-10-31 22:26:00+00:00,1358,Wore my  hoodie to  w/whole family in costume &amp; it scored me my boo-rito bowl for $3 😄🎃 #ScientistForHalloween https://t.co/lqBOtbjAmL,We dig it! Thanks for stopping by. Happy Halloween!,
1359,ChipotleTweets,False,2017-10-31 22:25:36+00:00,1361,Hey  why don't you have chorizo anymore it was the best thing on the menu,"It was my favorite, too. My apologies for any frustration. -Becky",1360
1362,ChipotleTweets,False,2017-10-31 22:48:00+00:00,1360,"I'm not frustrated, just sad. But thanks for the compassion.","Of course, my friend. -Becky",
1363,ChipotleTweets,False,2017-10-31 22:25:33+00:00,1364,Oh what a Happy Halloween it is 🙌🏼  https://t.co/UvC4oAnUwE,Yes! I love it. And Shawn's cards are the best. -Becky,
1366,ChipotleTweets,False,2017-10-31 22:24:26+00:00,1367,Boorito!!! One of my favorite Halloween traditions. ❤️👻✨🥑🌽🥗  https://t.co/rLKJ3uvw7c,Same! What's your go-to order? -Becky,
1368,ChipotleTweets,False,2017-10-31 22:24:26+00:00,1369,i just spent $3.00 even on a boorito from  😍,Best day of the year! -Becky,
1370,ChipotleTweets,False,2017-10-31 22:24:00+00:00,1371,"My favorite holiday... $3 booritos at Chipotyay!  🎃🌯👻
#chipchiphooray #chipotyay… https://t.co/MC6QVqAt1z",Thanks for stopping by! That's a great looking duo right there. -Becky,
1372,ChipotleTweets,False,2017-10-31 22:23:29+00:00,1373,I guess my soccer player costume wasn't good enough for a $3 burrito,That doesn't sound right. Please tell us more here: https://t.co/Ax7W1Dx3Y9 -Becky,
1374,ChipotleTweets,False,2017-10-31 22:23:26+00:00,1375,. app doesn’t work anymore in the 6ix. Lame.,"We shut it off for our Boorito promotion, but it'll be back on tomorrow. My apologies for any frustration. -Becky",
1376,ChipotleTweets,False,2017-10-31 22:22:29+00:00,1377,aye can i do double meat for my boorito and still only pay $3?,"If it fits comfortably inside your meal, it'll be $3. -Becky",
1378,ChipotleTweets,False,2017-10-31 22:21:53+00:00,1380,Hey  Any word on when your 532 W. Broadway location in Vancouver will open? Can't wait any more!! #YVRfood #lunchtime,"If all goes to plan, we should be open on Friday! -Becky",1379
1381,ChipotleTweets,False,2017-11-01 01:04:00+00:00,1379,Woohoo! I'm gonna be first in line. 😄,"Yeah, buddy! Send us a pic, for sure. -Becky",1382
1383,ChipotleTweets,False,2017-11-03 16:12:38+00:00,1382,Hey! Did things go to plan? Just checking if your W. Broadway location in Vancouver is open today...,"From what I see, we're good to go. -Tay",
1384,ChipotleTweets,False,2017-10-31 22:21:25+00:00,1386,I think this is the first time since its birth that I haven’t gone to  on Halloween for my annual boorito 😞,Oh noooo! Why not this year? -Becky,1385
1387,ChipotleTweets,False,2017-10-31 23:21:00+00:00,1385,"No costume, Becky. No one wanted to be Shrek with me. Tis a sad, sad Tuesday☹️","Sad, indeed. I still think you should come in! -Becky",
1390,ChipotleTweets,False,2017-10-31 22:19:52+00:00,1391,When you go to  dressed as a soccer player and don't get 3$ burritos,That shouldn't be happening. Please tell us more here: https://t.co/Ax7W1Dx3Y9 -Becky,
1392,ChipotleTweets,False,2017-10-31 22:19:01+00:00,1394,It's Halloween and my total at  was $6.66.....,😳 -Becky,1393
1395,ChipotleTweets,False,2017-10-31 22:33:27+00:00,1393,Pray for me Becky,🙏 -Becky,
1397,ChipotleTweets,False,2017-10-31 22:18:32+00:00,1398,I think my family hates me! They made me get  on Halloween! #3dollarburrito,See I think that means your family loves you. -Becky,
1399,ChipotleTweets,False,2017-10-31 22:18:29+00:00,1401,i just walked into  wearing my mermaid man costume to get a $3 burrito &amp; I’ve never felt more alive,That sounds so epic. -Becky,1400
1402,ChipotleTweets,False,2017-10-31 22:17:00+00:00,1403,If you don't pull out that old costume and get a $3 burrito from  you are crazy.,Agreed. -Becky,
1404,ChipotleTweets,False,2017-10-31 22:16:27+00:00,1405,Looking to get a  burrito for $3 🌯💀 https://t.co/6xGry0hKUC,"Nicely done! Your makeup is on point, my friend. -Becky",
1407,ChipotleTweets,False,2017-10-31 22:16:00+00:00,1408,A burrito bowl from  for just $3...heck yes!! From now till close go in w/ your Halloween costume and get the deal. #12News https://t.co/3LgsDiLruM,"Thanks for the shout out, and thanks for stopping by! -Becky",
1416,ChipotleTweets,False,2017-10-31 22:15:37+00:00,1418,Just got ghosted by Chipotle :( Went in at 3pm and was told we had to wait another hour for #BOOritos! UnBOOlievable.,That's definitely unBOOlievable. Please tell us more so we can help: https://t.co/Ax7W1Dx3Y9 -Becky,1417
1419,ChipotleTweets,False,2017-10-31 23:37:27+00:00,1417,"Thanks, Becky! We were able to go back to Chipotle at 4pm and got our BOOritos.",We appreciate you coming back! -Becky,
1420,ChipotleTweets,False,2017-10-31 22:14:56+00:00,1421,"is extra meat, guac, and queso included in the boorito?","As long as it fits comfortably inside your meal, it's $3. -Becky",
2108,ChipotleTweets,False,2017-10-31 22:44:27+00:00,2109,"On behalf of all college students, thank you 💕 https://t.co/bcXVahRWQK","Oh behalf of Chipotle, thank YOU! -Becky",
2135,ChipotleTweets,False,2017-10-31 22:43:54+00:00,2136,We will be back Friday for lunch 👍,Friday will be here before you know it. -Becky,
2137,ChipotleTweets,False,2017-10-31 22:30:06+00:00,2138,"The Wild Thing heard there was a $3 special at  4 👻 Halloween &amp; couldn’t pass it up 

He hopes Chipotle will sponsor his team https://t.co/RkpOQwsVU0",Thanks for stopping by! -Becky,2136
2139,ChipotleTweets,False,2017-10-31 22:43:53+00:00,2140,I know you guys are busy but don’t undercook brown rice 🙃🙃🙃,That shouldn't be happening. Which location did you visit? I'd like to follow up. -Becky,
2141,ChipotleTweets,False,2017-10-31 22:43:27+00:00,2143,I'm geekin for sum  rightnow🤗😂🥙,Welcome to my life. What's your usual order? -Becky,2142
2144,ChipotleTweets,False,2017-11-01 00:03:32+00:00,2142,"Chx burrito bowl all the works, bring on the GUAC!!!🤗💖",Mmmmm – well played. -Becky,
2145,ChipotleTweets,False,2017-10-31 22:43:27+00:00,2146,Nothing says Halloween like $3 🌯 burritos and 🌮 tacos  https://t.co/kJI7WVXewP,What a great looking crew! We appreciate you coming in. -Becky,
2147,ChipotleTweets,False,2017-10-31 22:43:00+00:00,2148,5th year of getting a boorito! SpoOoOoOky 🌯👻,"High five, my friend! -Becky",
2149,ChipotleTweets,False,2017-10-31 22:42:36+00:00,2150,No worries.  I got my four burrito bowls without issue. Lucky me. We beat the lines!,"Success! Well played, my friend. -Becky",
2151,ChipotleTweets,False,2017-10-31 21:51:29+00:00,2152,No online orders today?  Really  ?  .,"It's our annual Boorito promotion, and we turn it off for the night. My apologies for any frustration. -Becky",2150
2157,ChipotleTweets,False,2017-10-31 22:40:39+00:00,2158,what is this in my food?? https://t.co/dW5E8d5DxO,That's very troubling. Please write to us so we can investigate: https://t.co/Ax7W1Dx3Y9 -Becky,
2159,ChipotleTweets,False,2017-10-31 22:40:05+00:00,2160,Idk what  puts in their salad dressing but holy fack it's delicious #drinkitpouritgottahaveit,I'm right there with you. Here's the full ingredient statement: https://t.co/0BbYN36bdJ -Becky,
2162,ChipotleTweets,False,2017-10-31 22:39:35+00:00,2163,Shoutout to the best burritos around! Thanks   for the $3 burrito! You the best!,"And see – we think you're pretty great, too. Thanks for stopping by! -Becky",
2166,ChipotleTweets,False,2017-10-31 22:39:28+00:00,2168,WHAT THE HECK?! https://t.co/LPAFswpIbL,We turned off online ordering tonight for our Boorito promo. My apologies for any frustration. -Becky,2167
2169,ChipotleTweets,False,2017-10-31 22:39:00+00:00,2170,I’m a undercover boss. Thank you for the $3  🤓 https://t.co/Pl2Fv4XLWr,"Well played, my friend. -Becky",
2171,ChipotleTweets,False,2017-10-31 22:39:00+00:00,2172,I love you,And we love you right back! -Becky,
2174,ChipotleTweets,False,2017-10-31 22:39:00+00:00,67,My baby https://t.co/dtiXxMIJyq,Your baby looks beautiful. -Becky,
2175,ChipotleTweets,False,2017-10-31 22:38:27+00:00,2176,Was gonna say I’m ready for a job at  but my rolling skills suck. https://t.co/CdzgKpYldg,"Practice, my friend – it takes practice. I have faith in you! -Becky",
2177,ChipotleTweets,False,2017-10-31 22:36:28+00:00,2178,got his boorito 🎃😂 https://t.co/QB4ljLjSxx,Success! -Becky,
2179,ChipotleTweets,False,2017-10-31 22:36:28+00:00,2180,Happy Halloween! I broke out my KO cosplay today for  and  and totally not because of  . Not at all. https://t.co/CkHFv3lMtB,We appreciate you stopping by! -Becky,
2181,ChipotleTweets,False,2017-10-31 22:35:56+00:00,2183,Best part of today are these $3 burritos💀☠️  https://t.co/vW35DKXm9c,Truth. What's your go-to order? -Becky,2182
2184,ChipotleTweets,False,2017-10-31 22:45:28+00:00,2182,Barbacoa w da guac 🤤😛🔥,Mmmmm – nicely done. -Becky,
2185,ChipotleTweets,False,2017-10-31 22:35:00+00:00,2186,but do I absolutely have to be in a costume for a $3 #boorito ?!!!,Those are the rules. I wouldn't risk it. -Becky,
2187,ChipotleTweets,False,2017-10-31 22:34:54+00:00,2189,https://t.co/iGQf79bF32,Oh my goodness – I love it! Nicely done. -Becky,2188
2190,ChipotleTweets,False,2017-10-31 22:34:23+00:00,2191,Your app seems to be down,We turned off online ordering tonight for our Boorito promo. My apologies for any frustration. -Becky,
2193,ChipotleTweets,False,2017-10-31 22:34:23+00:00,2194,enjoying our $3 #booritos from  #HappyHalloween #boo https://t.co/xn5MRjr8Hg,Thanks for stopping by! -Becky,
2195,ChipotleTweets,False,2017-10-31 22:33:30+00:00,2196,Adult trick-or-treating for me is going to as many  as I can find for #Booritos,"I like your style, my friend. -Becky",
2197,ChipotleTweets,False,2017-10-31 22:32:53+00:00,2198,BOORITO TIME!,We look forward to seeing you! -Becky,
2200,ChipotleTweets,False,2017-10-31 22:32:53+00:00,2201,Yes hungry rutgers student ❤️,I'm so sorry about that. Please tell us more here: https://t.co/Ax7W1Dx3Y9 -Becky,
2202,ChipotleTweets,False,2017-10-31 20:40:17+00:00,2203,Bruh  u really just made me pay full price for my burrito I'm tight,Did you come dressed in costume? -Tara,2201
2204,ChipotleTweets,False,2017-10-31 22:32:25+00:00,2205,"U guys make it really hard to give feedback. Called the store, no answer. Can't send msg on FB. What are my options?",I'm so sorry about that. Please provide more details here: https://t.co/Ax7W1Dx3Y9 -Becky,
2206,ChipotleTweets,False,2017-10-31 22:31:00+00:00,2207,gave me food poisoning and I’ve never been more heartbroken in my life,That's incredibly concerning. Please tell us more here: https://t.co/Ax7W1Dx3Y9 -Becky,
2208,ChipotleTweets,False,2017-10-31 22:30:34+00:00,2209,Forgot to get my receipt at  There goes a chance at burritos for a year. Ugh.,Hopefully there will be more receipts to come. -Becky,
2210,ChipotleTweets,False,2017-10-31 22:30:00+00:00,2212,"Heck yes I went to  and got a $3 boo-rito bowl for wearing my minion outfit today. Well worth it (also I was far from alone, everyone wore costumes and wanted their costume chippy 😂) https://t.co/crR3iq4K1U",I love it! Thanks so much for stopping by. -Becky,2211
3318,ChipotleTweets,False,2017-10-31 22:59:29+00:00,3319,"Hey Becky,let's say one doesn't have a costume,could one still get that deal? Asking for a very hungry friend  https://t.co/GrwqVkTqVX",You need a costume. I have faith that you can get creative! -Becky,
3320,ChipotleTweets,False,2017-10-31 22:59:01+00:00,3321,$3 bowls and  isn’t charging for double meat?! Day is made 😎🤙🏻,Right? Best day of the year. -Becky,
3322,ChipotleTweets,False,2017-10-31 22:59:01+00:00,3323,What would you do for $3  https://t.co/LeCsAuf5kl,That makeup is on point! -Becky,
3325,ChipotleTweets,False,2017-10-31 22:59:00+00:00,3326,Chipotle is honestly a blessing,😇 -Becky,
3327,ChipotleTweets,False,2017-10-31 22:58:30+00:00,3328,Get your food for $3  if you come in a costume!!!,Truth! Thanks so much for the shout out. -Becky,
3329,ChipotleTweets,False,2017-10-31 22:58:30+00:00,3330,thoroughly disappointed in  queso... 1/10... can’t even power through it and finish...just bad.. (but thanks for the boorito),"I'm so sorry you aren't a fan, and we're still working to perfect our recipe. I hope you give it another shot soon. -Becky",
3331,ChipotleTweets,False,2017-10-31 22:57:27+00:00,3332,It's too late. I have ascended into darkness. https://t.co/tpolABrWol,😭 I'm so sorry about that. I'm confident we'll include it next time. -Becky,
3333,ChipotleTweets,False,2017-10-31 21:35:33+00:00,3334,BOO at #Chopotle who forgot to include my delicious vinaigrette dressing in my bag before I left…  https://t.co/NekemyUTKS,Sad day! I'm so sorry. Are you able to to go back and grab it? -Becky,3332
3335,ChipotleTweets,False,2017-10-31 22:57:00+00:00,3336,Dressed up as the chicken I'm about to get in my bowl  https://t.co/1k8Vyc7JP8,"Yeah, buddy! That's what I like to hear. -Becky",
3337,ChipotleTweets,False,2017-10-31 22:56:29+00:00,3338,I got my boorito from  and I’m so happy 💗✨👻,It's the best day of the year. -Becky,
3339,ChipotleTweets,False,2017-10-31 22:56:00+00:00,3340,Just went to  and my bowl was only three bucks!! Happy Halloween! 👻 🎃,It's our annual Boorito promotion – enjoy that bowl! -Becky,
3341,ChipotleTweets,False,2017-10-31 22:55:32+00:00,3342,"Chicken, rice, corn ,cheese and guacamole!!!",Mmmmm nicely done! -Becky,
3343,ChipotleTweets,False,2017-10-31 22:47:00+00:00,3344,Got my $3 #boorito  from  #happyhalloween🎃 https://t.co/csK92IhYn7,We appreciate you stopping by! What all did you get in your burrito? -Becky,3342
3345,ChipotleTweets,False,2017-10-31 22:55:29+00:00,3346,Thanks  !!! https://t.co/M3N3dyvupA,Thanks for coming in! -Becky,
3347,ChipotleTweets,False,2017-10-31 22:53:00+00:00,3348,This $3 Steak bowl from  just made my night. 🙌🏾😋,"The only thing better than a regular steak bowl, is a $3 steak bowl. -Becky",
3349,ChipotleTweets,False,2017-10-31 22:51:50+00:00,3352,"The Chipotle on 193 W 237th St, Bronx, NY 10463 is only offering $3 burritos, when the website includes bowls and tacos.",That's concerning. We'll get in touch with the team straightaway. -Becky,"3350,3351"
3353,ChipotleTweets,False,2017-11-01 00:02:33+00:00,3350,"I am on line to order, I am hoping its been fixed. I let you guys know. My friends were told only burritos",Please have your friends contact us: https://t.co/Ax7W1Dx3Y9 The team didn't recall saying this to anyone. -Becky,
3354,ChipotleTweets,False,2017-11-01 00:25:25+00:00,3351,I just ordered by bowl and they tried to tell me it was only the burrito that was $3. I had to show them this feed. I will tell my friends,"Please write to us at the link, as that conflicts with what was discussed when we called. -Becky",
3355,ChipotleTweets,False,2017-10-31 22:50:00+00:00,3356,$3 burritos at  today if you're in costume! RT to save a life! https://t.co/GzrnNVAmwY,Thanks for the shout out! -Becky,
3357,ChipotleTweets,False,2017-10-31 22:48:28+00:00,3358,hey  it's #boorito time!  #theRF. https://t.co/fH75f1kFYR,"Oh. My. Goodness. I love all of this so much! Nicely done, fam. -Becky",
3361,ChipotleTweets,False,2017-10-31 22:48:00+00:00,3362,That chipotle never fills there vinaigrette cups all the way up to the top 😤  https://t.co/RI5E1IPXu7,"The standard portion is two ounces, which is half of the cup. We should be happy to give you an extra one, though. -Becky",
3363,ChipotleTweets,False,2017-10-31 22:47:30+00:00,3365,does BOORITO apply to bowls for us GFers? 😰,It's good for any main menu item – you don't have to order a burrito! -Becky,3364
3366,ChipotleTweets,False,2017-10-31 22:47:00+00:00,3367,"When  offers $3 burritos if you dress up, but you don't have a costume https://t.co/rv2LeCHIZ1",That's my kind of costume right there. -Becky,
3369,ChipotleTweets,False,2017-10-31 22:46:01+00:00,3371,My grandma dressed up as “oldest pregnant lady” to get her $3  but couldn’t get out of the house 😂 https://t.co/qw2HexVp35,Oh noooo! Did she make it? -Becky,3370
3373,ChipotleTweets,False,2017-10-31 22:45:28+00:00,3374,Just got my $3 bowl at  ❤️❤️❤️,That's what we like to hear! What did you order? -Becky,
3375,ChipotleTweets,False,2017-10-31 22:44:57+00:00,3376,Come through to chipotle and get your $3 bowl today 😜  https://t.co/aOAeKJ2rZp,"I love all of this so much! We appreciate you stopping by, and those costumes are on point. -Becky",
4358,ChipotleTweets,False,2017-10-31 23:14:27+00:00,4359,"are you telling me these tortillas aren't fresh, becky?","They're absolutely fresh, but we don't make those in-restaurant by hand. -Becky",
4362,ChipotleTweets,False,2017-10-31 23:01:00+00:00,4363,why can't i get chips instead of a tortilla from  for free?,"We make our chips by hand, every single day. I'm sorry for any frustration they're an extra charge. -Becky",4361
4364,ChipotleTweets,False,2017-10-31 23:14:00+00:00,4365,Best chipotle costume ?  #chipotle https://t.co/tXbPy0L26R,It's definitely in the running. -Becky,
4366,ChipotleTweets,False,2017-10-31 23:13:52+00:00,4367,"$3 burritos at   with costume??
Don't mind if I do! #stuffed",Thanks for stopping by! -Becky,
4368,ChipotleTweets,False,2017-10-31 23:13:28+00:00,4369,I know Halloween is supposed to be scary but a piece of bone in my chicken is a little too far  https://t.co/PZLZQ3a5p3,That's troublesome to see. Please tell us more here: https://t.co/Ax7W1Dx3Y9 -Becky,
4371,ChipotleTweets,False,2017-10-31 23:12:00+00:00,4372,The only reason to spend thousands on a fursuit! $3 burritos at  !!!! https://t.co/d4wWK5BEmk,Nicely done! -Becky,
4374,ChipotleTweets,False,2017-10-31 23:11:11+00:00,4375,"For the boorito offer, if you order half steak, half chicken and then extra steak, it would still be $3, right?","As long as everything fits comfortably inside your meal, it'll be the $3. -Becky",
4376,ChipotleTweets,False,2017-10-31 23:11:00+00:00,4377,"The $3 burrito is cool, but can I order online w/o being redirected to the $3 burrito page or is this a Halloween prank?",It's not a Halloween prank – I'm sorry. We turned it off for the Boorito promotion tonight. -Becky,
4378,ChipotleTweets,False,2017-10-31 23:10:34+00:00,4379,Went to  dressed up as Napoleon Dynamite and the line was out the door. So disappointed 😔,I'm confident it'll be worth the wait! -Becky,
4380,ChipotleTweets,False,2017-10-31 23:10:00+00:00,4381,Update https://t.co/eiEltDWkcz,Yas! I love it. -Becky,
4385,ChipotleTweets,False,2017-10-31 23:09:00+00:00,4387,I ordered chips but they forgot to put it in my bag.... now I’m sad.. a sad cone https://t.co/6nIx4BEqHm,"I'd be a sad cone, too. I'm sorry. Let a manager know about this next time you're in so we can make amends. -Becky",4386
4388,ChipotleTweets,False,2017-10-31 23:08:00+00:00,4389,I need limes!,We should have a couple of those available. -Becky,
4415,ChipotleTweets,False,2017-10-31 23:06:36+00:00,4416,This was a good idea in theory but now I have a tummy ache :(((( https://t.co/lnIneXSE3i,I'm sorry to hear this. Please let our team know at the link:  https://t.co/0f6pFdYU9j -Jen,
4417,ChipotleTweets,False,2017-10-31 23:03:00+00:00,4418,I was getting a BOOrito while your employees ordered Pizza Hut. Please tell me this is a Halloween trick to scare customers. https://t.co/cPQwzeL8uV,That seems odd. Please tell us more here: https://t.co/Ax7W1Dx3Y9 -Becky,
4419,ChipotleTweets,False,2017-10-31 23:02:00+00:00,4421,. what's up with the app and online ordering being down?!!,"Online ordering is turned off tonight for our annual Boorito promo, but it'll be back on tomorrow. -Becky",4420
4422,ChipotleTweets,False,2017-10-31 23:17:27+00:00,4420,Definitely threw our plans out of whack. Maybe more communication next time...,We always welcome suggestions to improve here: https://t.co/Ax7W1Dx3Y9 -Becky,
4423,ChipotleTweets,False,2017-10-31 23:01:00+00:00,4425,Thanks for the $3 Boorito™  https://t.co/fN5bTwgvAg,Thanks for coming in! What did you get? -Becky,4424
4426,ChipotleTweets,False,2017-10-31 23:15:08+00:00,4424,I got a chicken Boorito with queso,🤤 -Becky,
4430,ChipotleTweets,False,2017-10-31 23:00:01+00:00,4431,Why can’t I order online?,"It's shut off tonight for our annual Boorito promotion, but it'll be turned back on tomorrow. -Becky",
4580,ChipotleTweets,False,2017-11-26 00:29:29+00:00,4581,nan,Sorry we ran out of some essentials. Where did you visit? -Jen,
4588,ChipotleTweets,False,2017-11-26 00:28:48+00:00,4589,"I’m bummed,  is no longer serving chorizo. 😪","I'm sorry you're going to miss it! I know you'll find a new favorite soon, though. -Jen",
4590,ChipotleTweets,False,2017-11-26 00:17:29+00:00,4591,Went to  today and was informed that #chorizo is no more.. my heart is broken.. how do I carry on.. 😔😞😩,I'm sorry you're going to miss it. I hope you can find your new fave soon! -Jen,
4592,ChipotleTweets,False,2017-11-26 00:17:00+00:00,4593,this man is sleeping with my wife help https://t.co/VxSgnxYRLq,That's unfortunate. How would we be able to help? -Jen,
4594,ChipotleTweets,False,2017-11-26 00:16:56+00:00,4596,in Jeffersonville no forks or guacamole #annoyed,I'm sorry that happened. Do you happen to have the address of that restaurant so I can follow up with the right team? -Jen,4595
4597,ChipotleTweets,False,2017-11-26 00:30:32+00:00,4595,"12478 old us 35 nw, jeforsonville Ohio 43128",Thanks. I'll get in touch with our team. -Jen,
4598,ChipotleTweets,False,2017-11-26 00:14:00+00:00,4599,This is why I love my sister   https://t.co/YGBqETYNVZ,I'd call that a salsa sista. -Jen,
4600,ChipotleTweets,False,2017-11-26 00:03:25+00:00,4602,"Jen, I just submitted feedback. You all need to find a way to do better Quality Control on app orders, this sort of thing happens way too often. You all as a company are better than this!",We really appreciate you letting us know. I know things will turn around soon. -Jen,4601
4603,ChipotleTweets,False,2017-11-26 04:46:00+00:00,4601,Will I hear back from someone on the money I've paid for things I haven't gotten at some point?,You should hear back either tomorrow or Monday. -Jen,
4604,ChipotleTweets,False,2017-11-25 23:29:54+00:00,4605,"app order messed up AGAIN. I paid Xtra 4 dbl meat n ordered a salad. 4th time. I want compensation, ive lost $18 to your errors in last few months. https://t.co/6GHolsSGm6",I'm sorry to hear that. Can you please let our team know at the link?  https://t.co/0f6pFdYU9j -Jen,4602
4606,ChipotleTweets,False,2017-11-25 23:59:55+00:00,4608,"your Anthony Dr Champaign IL location isn’t helping your brand experience. Unprepared staff, had to ask if more veggies were being prepared 3 times &amp; then watched veggies cook for under 90 seconds before hitting the line. Can you help make this place better?",I'm really sorry to hear about this. I'll follow up with our team so we can make your future visits stellar! -Jen,4607
4609,ChipotleTweets,False,2017-11-25 23:57:55+00:00,4610,My car drives itself to  these days,I know the feeling. -Jen,
4611,ChipotleTweets,False,2017-11-25 23:49:00+00:00,4612,"put a piece of chicken in my burrito, i’m a vegetarian smh https://t.co/PnzHj4urek",I'm really sorry that happened. please reach out to our team at the link:  https://t.co/0f6pFdYU9j -Jen,
